datetime, value
2016021609,0
2016021610,0
2016021611,0
2016021612,0
2016021613,0
2016021614,0
2016021615,0
2016021616,0
2016021617,0
2016021618,0
2016021619,0
2016021620,473
2016021621,716
2016021622,865
2016021623,930
2016021700,767
2016021701,-999
2016021702,-999
2016021703,-999
2016021704,88
2016021705,467
2016021706,767
2016021707,-999
2016021708,-999
2016021709,0
2016021710,0
2016021711,0
2016021712,0
2016021713,0
2016021714,0
2016021715,0
2016021716,0
2016021717,0
2016021718,0
2016021719,0
2016021720,372
2016021721,734
2016021722,902
2016021723,968
2016021800,-999
2016021801,961
2016021802,970
2016021803,1002
2016021804,1011
2016021805,991
2016021806,-999
2016021807,587
2016021808,47
2016021809,0
2016021810,0
2016021811,0
2016021812,0
2016021813,0
2016021814,0
2016021815,0
2016021816,0
2016021817,0
2016021818,0
2016021819,0
2016021820,341
2016021821,701
2016021822,871
2016021823,939
2016021900,943
2016021901,939
2016021902,774
2016021903,288
2016021904,172
2016021905,169
2016021906,397
2016021907,442
2016021908,18
2016021909,0
2016021910,0
2016021911,0
2016021912,0
2016021913,0
2016021914,0
2016021915,0
2016021916,0
2016021917,0
2016021918,0
2016021919,0
2016021920,513
2016021921,848
2016021922,972
2016021923,1026
2016022000,1017
2016022001,998
2016022002,999
2016022003,1016
2016022004,1030
2016022005,1015
2016022006,930
2016022007,654
2016022008,15
2016022009,0
2016022010,0
2016022011,0
2016022012,0
2016022013,0
2016022014,0
2016022015,0
2016022016,0
2016022017,0
2016022018,0
2016022019,0
2016022020,481
2016022021,831
2016022022,966
2016022023,1022
2016022100,1018
2016022101,1008
2016022102,1003
2016022103,1032
2016022104,1044
2016022105,1016
2016022106,948
2016022107,660
2016022108,6
2016022109,0
2016022110,0
2016022111,0
2016022112,0
2016022113,0
2016022114,0
2016022115,0
2016022116,0
2016022117,0
2016022118,0
2016022119,0
2016022120,32
2016022121,262
2016022122,435
2016022123,832
2016022200,519
2016022201,134
2016022202,53
2016022203,749
2016022204,899
2016022205,836
2016022206,723
2016022207,374
2016022208,1
2016022209,0
2016022210,0
2016022211,0
2016022212,0
2016022213,0
2016022214,0
2016022215,0
2016022216,0
2016022217,0
2016022218,0
2016022219,0
2016022220,270
2016022221,275
2016022222,182
2016022223,790
2016022300,894
2016022301,843
2016022302,799
2016022303,268
2016022304,-999
2016022305,128
2016022306,455
2016022307,10
2016022308,0
2016022309,0
2016022310,0
2016022311,0
2016022312,0
2016022313,0
2016022314,0
2016022315,0
2016022316,0
2016022317,0
2016022318,0
2016022319,0
2016022320,158
2016022321,-999
2016022322,787
2016022323,887
2016022400,917
2016022401,-999
2016022402,-999
2016022403,-999
2016022404,-999
2016022405,201
2016022406,485
2016022407,423
2016022408,-999
2016022409,0
2016022410,0
2016022411,0
2016022412,0
2016022413,0
2016022414,0
2016022415,0
2016022416,0
2016022417,0
2016022418,0
2016022419,0
2016022420,152
2016022421,221
2016022422,654
2016022423,130
2016022500,406
2016022501,806
2016022502,878
2016022503,811
2016022504,555
2016022505,821
2016022506,683
2016022507,450
2016022508,0
2016022509,0
2016022510,0
2016022511,0
2016022512,0
2016022513,0
2016022514,0
2016022515,0
2016022516,0
2016022517,0
2016022518,0
2016022519,0
2016022520,437
2016022521,806
2016022522,953
2016022523,1013
2016022600,1002
2016022601,979
2016022602,-999
2016022603,-999
2016022604,1009
