datetime, value
2016022305,349
2016022306,368
2016022307,57
2016022308,0
2016022309,0
2016022310,0
2016022311,0
2016022312,0
2016022313,0
2016022314,0
2016022315,0
2016022316,0
2016022317,0
2016022318,0
2016022319,0
2016022320,79
2016022321,-999
2016022322,521
2016022323,717
2016022400,855
2016022401,-999
2016022402,-999
2016022403,-999
2016022404,-999
2016022405,376
2016022406,342
2016022407,174
2016022408,-999
2016022409,0
2016022410,0
2016022411,0
2016022412,0
2016022413,0
2016022414,0
2016022415,0
2016022416,0
2016022417,0
2016022418,0
2016022419,0
2016022420,79
2016022421,224
2016022422,501
2016022423,414
2016022500,658
2016022501,890
2016022502,921
2016022503,848
2016022504,643
2016022505,598
2016022506,385
2016022507,196
2016022508,0
2016022509,0
2016022510,0
2016022511,0
2016022512,0
2016022513,0
2016022514,0
2016022515,0
2016022516,0
2016022517,0
2016022518,0
2016022519,0
2016022520,106
2016022521,329
2016022522,552
2016022523,743
2016022600,866
2016022601,930
2016022602,-999
2016022603,-999
2016022604,800
2016022605,635
2016022606,424
2016022607,212
2016022608,-999
2016022609,0
2016022610,0
2016022611,0
2016022612,0
2016022613,0
2016022614,0
2016022615,0
2016022616,0
2016022617,0
2016022618,0
2016022619,0
2016022620,96
2016022621,-999
2016022622,540
2016022623,728
2016022700,859
2016022701,929
2016022702,940
2016022703,902
2016022704,793
2016022705,629
2016022706,414
2016022707,187
2016022708,0
2016022709,0
2016022710,0
2016022711,0
2016022712,0
2016022713,0
2016022714,0
2016022715,0
2016022716,0
2016022717,0
2016022718,0
2016022719,0
2016022720,92
2016022721,309
2016022722,530
2016022723,721
2016022800,852
2016022801,912
2016022802,927
2016022803,893
2016022804,797
2016022805,628
2016022806,416
2016022807,173
2016022808,0
2016022809,0
2016022810,0
2016022811,0
2016022812,0
2016022813,0
2016022814,0
2016022815,0
2016022816,0
2016022817,0
2016022818,0
2016022819,0
2016022820,90
2016022821,320
2016022822,542
2016022823,731
2016022900,853
2016022901,942
2016022902,936
2016022903,-999
2016022904,405
2016022905,-999
2016022906,418
2016022907,187
2016022908,0
2016022909,0
2016022910,0
2016022911,0
2016022912,0
2016022913,0
2016022914,0
2016022915,0
2016022916,0
2016022917,0
2016022918,0
2016022919,0
2016022920,91
2016022921,311
2016022922,532
2016022923,723
2016030100,-999
2016030101,-999
2016030102,929
2016030103,881
2016030104,750
2016030105,582
2016030106,-999
2016030107,125
2016030108,0
2016030109,0
2016030110,0
2016030111,0
2016030112,0
2016030113,0
2016030114,0
2016030115,0
2016030116,0
2016030117,0
2016030118,0
2016030119,0
2016030120,83
2016030121,296
2016030122,-999
2016030123,707
2016030200,-999
2016030201,895
2016030202,905
2016030203,865
2016030204,762
2016030205,-999
2016030206,386
2016030207,163
2016030208,0
2016030209,0
2016030210,0
2016030211,0
2016030212,0
2016030213,0
2016030214,0
2016030215,0
2016030216,0
2016030217,0
2016030218,0
2016030219,0
2016030220,61
2016030221,136
2016030222,222
2016030223,415
2016030300,-999
2016030301,875
2016030302,-999
2016030303,829
2016030304,750
2016030305,-999
2016030306,-999
2016030307,151
2016030308,0
2016030309,0
2016030310,0
2016030311,0
2016030312,0
2016030313,0
2016030314,0
2016030315,0
2016030316,0
2016030317,0
2016030318,0
2016030319,0
2016030320,74
2016030321,264
2016030322,488
2016030323,636
2016030400,815
2016030401,869
2016030402,-999
2016030403,832
2016030404,-999
2016030405,440
2016030406,141
2016030407,59
2016030408,0
2016030409,0
2016030410,0
2016030411,0
2016030412,0
2016030413,0
2016030414,0
2016030415,0
2016030416,0
2016030417,0
2016030418,0
2016030419,0
2016030420,68
2016030421,268
2016030422,477
2016030423,674
2016030500,797
2016030501,787
2016030502,-999
2016030503,861
2016030504,701
2016030505,499
2016030506,307
2016030507,140
2016030508,0
2016030509,0
2016030510,0
2016030511,0
2016030512,0
2016030513,0
2016030514,0
2016030515,0
2016030516,0
2016030517,0
2016030518,0
2016030519,0
2016030520,71
2016030521,264
2016030522,473
2016030523,669
2016030600,795
2016030601,860
2016030602,-999
2016030603,846
2016030604,590
2016030605,549
2016030606,359
2016030607,124
2016030608,0
2016030609,0
2016030610,0
2016030611,0
2016030612,0
2016030613,0
2016030614,0
2016030615,0
2016030616,0
2016030617,0
2016030618,0
2016030619,0
2016030620,46
2016030621,-999
2016030622,481
2016030623,676
2016030700,810
2016030701,865
2016030702,-999
2016030703,831
2016030704,-999
2016030705,-999
2016030706,306
2016030707,133
2016030708,0
2016030709,0
2016030710,0
2016030711,0
2016030712,0
2016030713,0
2016030714,0
2016030715,0
2016030716,0
2016030717,0
2016030718,0
2016030719,0
2016030720,63
2016030721,268
2016030722,-999
2016030723,-999
2016030800,808
2016030801,860
2016030802,877
2016030803,829
2016030804,721
2016030805,349
2016030806,325
2016030807,97
2016030808,0
2016030809,0
2016030810,0
2016030811,0
2016030812,0
2016030813,0
2016030814,0
2016030815,0
2016030816,0
2016030817,0
2016030818,0
2016030819,0
2016030820,54
2016030821,248
2016030822,251
2016030823,561
2016030900,728
2016030901,795
2016030902,841
2016030903,334
2016030904,-999
2016030905,275
2016030906,188
2016030907,72
2016030908,0
2016030909,0
2016030910,0
